t_utc,summarize_pending,embed_pending
2026-08-30T04:38:28.392109Z,9645,11
2026-08-30T04:40:29.177212Z,8264,5
2026-08-30T04:42:29.514086Z,6980,4
2026-08-30T04:44:29.773609Z,5564,0
2026-08-30T04:46:30.004700Z,4271,0
2026-08-30T04:48:30.256961Z,14561,427
2026-08-30T04:50:30.516149Z,13703,13
2026-08-30T04:52:31.265584Z,12653,2
2026-08-30T04:56:32.008815Z,14220,402
2026-08-30T04:58:32.493109Z,14260,6
2026-08-30T05:00:33.177979Z,13583,1
2026-08-30T05:02:33.736960Z,12837,26
2026-08-30T05:04:34.250202Z,15243,7
2026-08-30T05:06:41.583005Z,15155,2
2026-08-30T05:08:42.401154Z,14925,8
2026-08-30T05:10:42.949858Z,14003,3
2026-08-30T05:13:00.206871Z,12913,31
2026-08-30T05:15:27.652307Z,12870,1
2026-08-30T05:17:28.383109Z,12645,9
2026-08-30T05:19:28.941147Z,11570,14
2026-08-30T05:21:29.391964Z,10214,0
2026-08-30T05:23:32.767920Z,9379,9
2026-08-30T05:25:33.824307Z,8239,12
2026-08-30T05:27:34.375197Z,7104,0
2026-08-30T05:29:35.112824Z,5935,1
2026-08-30T05:31:35.805682Z,4734,0
2026-08-30T05:33:38.597229Z,3787,13
2026-08-30T05:35:39.270228Z,2859,14
2026-08-30T05:37:39.884559Z,2298,1
2026-08-30T05:39:40.341637Z,1367,2
2026-08-30T05:41:40.847780Z,499,0
2026-08-30T05:43:41.402455Z,0,0
